,id_usuari,llibre_recomanat,score,any_naixement,Comedia,Historica,Romance,Ciencia_Ficcio,Ficcio,Fantasia,Ciencia,Creixement_personal,Autoajuda,Policiaca,Juvenil,Densa,Fluida,pagines_max,pref_adaptacio_peli_Si,pref_best_seller_Si,genere_persona_altres,genere_persona_dona,pref_sagues_Indiferent,pref_sagues_Si
81,31,The_Pillars_of_the_Earth,5,1964,0,0,0,1,0,0,0,0,0,1,0,1,1,100000000,1,0,0,1,1,0
82,31,Cien_anos_de_soledad,5,1964,0,0,0,1,0,0,0,0,0,1,0,1,1,100000000,1,0,0,1,1,0
83,32,Los_Ojos_Amarillos_de_los_Cocodrilos,5,1964,0,0,0,1,1,1,0,0,0,1,0,0,1,100000000,1,0,0,1,1,0
84,32,Reina_roja,5,1964,0,0,0,1,1,1,0,0,0,1,0,0,1,100000000,1,0,0,1,1,0
85,32,Divergente,5,1964,0,0,0,1,1,1,0,0,0,1,0,0,1,100000000,1,0,0,1,1,0
86,32,Los_Juegos_del_Hambre,5,1964,0,0,0,1,1,1,0,0,0,1,0,0,1,100000000,1,0,0,1,1,0
87,32,La_Catedral_del_Mar,5,1964,0,0,0,1,1,1,0,0,0,1,0,0,1,100000000,1,0,0,1,1,0
88,32,The_Pillars_of_the_Earth,5,1964,0,0,0,1,1,1,0,0,0,1,0,0,1,100000000,1,0,0,1,1,0
89,32,La_Novia_Gitana,5,1964,0,0,0,1,1,1,0,0,0,1,0,0,1,100000000,1,0,0,1,1,0
90,33,El_Monje_que_Vendio_su_Ferrari,5,1966,0,1,0,0,1,0,0,0,0,0,0,0,1,100000000,0,0,0,1,1,0
91,33,The_Girl_on_the_Train,5,1966,0,1,0,0,1,0,0,0,0,0,0,0,1,100000000,0,0,0,1,1,0
92,33,Victus,5,1966,0,1,0,0,1,0,0,0,0,0,0,0,1,100000000,0,0,0,1,1,0
93,33,Angeles_y_Demonios,5,1966,0,1,0,0,1,0,0,0,0,0,0,0,1,100000000,0,0,0,1,1,0
94,33,Paraules_Que_Tu_Entendras,5,1966,0,1,0,0,1,0,0,0,0,0,0,0,1,100000000,0,0,0,1,1,0
95,33,The_Pillars_of_the_Earth,5,1966,0,1,0,0,1,0,0,0,0,0,0,0,1,100000000,0,0,0,1,1,0
96,34,La_Catedral_del_Mar,5,1969,0,0,0,1,1,1,0,0,0,1,0,0,1,150,1,0,0,1,0,1
97,34,El_Perfume,5,1969,0,0,0,1,1,1,0,0,0,1,0,0,1,150,1,0,0,1,0,1
98,35,The_Pillars_of_the_Earth,5,1973,0,1,1,0,0,0,0,0,0,0,0,1,0,350,1,0,0,1,1,0
99,35,PS_I_Love_You,5,1973,0,1,1,0,0,0,0,0,0,0,0,1,0,350,1,0,0,1,1,0
100,36,Nada,5,1974,0,1,0,0,0,0,0,0,0,1,0,1,1,100000000,0,0,0,1,0,1
101,36,La_Placa_del_Diamant,5,1974,0,1,0,0,0,0,0,0,0,1,0,1,1,100000000,0,0,0,1,0,1
102,36,Los_Juegos_del_Hambre,5,1974,0,1,0,0,0,0,0,0,0,1,0,1,1,100000000,0,0,0,1,0,1
103,37,Cartas_a_un_joven_poeta,5,1971,0,1,0,0,0,0,0,0,0,0,0,1,0,350,1,0,0,1,1,0
104,38,Cien_anos_de_soledad,5,1969,0,1,0,0,0,0,0,0,0,1,0,1,1,100000000,1,0,0,1,0,0
105,38,Sentit_i_SensibilitatLa_Catedral_del_Mar,5,1969,0,1,0,0,0,0,0,0,0,1,0,1,1,100000000,1,0,0,1,0,0
106,38,Pride_and_Prejudice,5,1969,0,1,0,0,0,0,0,0,0,1,0,1,1,100000000,1,0,0,1,0,0
107,38,The_Adventures_of_Tom_Sawyer,5,1969,0,1,0,0,0,0,0,0,0,1,0,1,1,100000000,1,0,0,1,0,0
108,39,Harry_Potter_and_the_Philosophers_Stone,5,1971,0,0,0,0,0,1,0,0,0,0,0,0,1,150,1,0,0,1,0,0
109,40,The_Girl_on_the_Train,5,1973,1,0,0,0,0,0,0,0,0,1,0,0,1,350,0,0,0,1,0,0
110,41,El_Hobbit,5,1976,0,0,0,0,1,0,0,0,0,1,0,0,1,350,1,1,0,1,0,0
111,41,Harry_Potter_and_the_Philosophers_Stone,5,1976,0,0,0,0,1,0,0,0,0,1,0,0,1,350,1,1,0,1,0,0
112,41,The_Girl_on_the_Train,5,1976,0,0,0,0,1,0,0,0,0,1,0,0,1,350,1,1,0,1,0,0
113,41,La_Sombra_del_Viento,5,1976,0,0,0,0,1,0,0,0,0,1,0,0,1,350,1,1,0,1,0,0
114,42,Memorias_de_una_Geisha,5,1978,0,1,0,0,1,0,0,0,0,0,0,1,0,100000000,1,0,0,1,0,0
115,42,La_Mujer_Justa,5,1978,0,1,0,0,1,0,0,0,0,0,0,1,0,100000000,1,0,0,1,0,0
116,43,Cien_anos_de_soledad,5,2003,0,1,0,0,0,0,0,0,0,0,0,0,1,150,1,0,0,0,0,0
117,44,El_Ultimo_Judio,5,1963,0,1,0,0,1,0,0,0,0,1,0,1,1,100000000,1,0,0,1,1,0
118,44,La_Dona_De_La_Seva_Vida,5,1963,0,1,0,0,1,0,0,0,0,1,0,1,1,100000000,1,0,0,1,1,0
119,44,Paraules_Que_Tu_Entendras,5,1963,0,1,0,0,1,0,0,0,0,1,0,1,1,100000000,1,0,0,1,1,0
120,44,La_Novia_Gitana,5,1963,0,1,0,0,1,0,0,0,0,1,0,1,1,100000000,1,0,0,1,1,0
121,44,Los_hombres_que_no_amaban_a_las_mujeres,5,1963,0,1,0,0,1,0,0,0,0,1,0,1,1,100000000,1,0,0,1,1,0
122,45,Un_mundo_feliz,5,1971,0,1,0,0,1,0,0,0,0,0,0,0,1,250,1,0,0,1,0,0
123,45,1984,5,1971,0,1,0,0,1,0,0,0,0,0,0,0,1,250,1,0,0,1,0,0
124,45,Cien_anos_de_soledad,5,1971,0,1,0,0,1,0,0,0,0,0,0,0,1,250,1,0,0,1,0,0
125,45,El_Petit_Princep,5,1971,0,1,0,0,1,0,0,0,0,0,0,0,1,250,1,0,0,1,0,0
126,46,The_Adventures_of_Tom_SawyerEl_expreso_de_Tokio,5,2002,0,0,0,0,0,0,0,0,0,1,0,1,1,350,1,0,0,1,1,0
127,46,El_Sabueso_de_los_Baskerville,5,2002,0,0,0,0,0,0,0,0,0,1,0,1,1,350,1,0,0,1,1,0
128,46,Mort_al_Nil,5,2002,0,0,0,0,0,0,0,0,0,1,0,1,1,350,1,0,0,1,1,0
129,47,Bridget_Joness_Diary,5,1967,1,0,0,0,1,0,0,0,0,1,0,0,1,250,0,0,0,1,0,0
130,47,Rebelion_en_la_Granja,5,1967,1,0,0,0,1,0,0,0,0,1,0,0,1,250,0,0,0,1,0,0
131,47,The_Diary_of_a_Young_Girl,5,1967,1,0,0,0,1,0,0,0,0,1,0,0,1,250,0,0,0,1,0,0
132,47,La_Casa_de_los_Espiritus,5,1967,1,0,0,0,1,0,0,0,0,1,0,0,1,250,0,0,0,1,0,0
133,47,El_Petit_Princep,5,1967,1,0,0,0,1,0,0,0,0,1,0,0,1,250,0,0,0,1,0,0
134,47,Los_hombres_que_no_amaban_a_las_mujeres,5,1967,1,0,0,0,1,0,0,0,0,1,0,0,1,250,0,0,0,1,0,0
135,48,Valeria_en_el_espejo,5,2003,0,0,1,0,1,0,0,0,0,0,0,1,1,100000000,0,0,0,1,0,1
136,48,Un_cuento_Perfecto,5,2003,0,0,1,0,1,0,0,0,0,0,0,1,1,100000000,0,0,0,1,0,1
137,49,El_Nino_del_Pijama_de_Rayas,5,2003,0,0,1,0,1,0,0,0,0,0,0,0,1,150,1,0,0,1,0,1
138,49,The_Diary_of_a_Young_Girl,5,2003,0,0,1,0,1,0,0,0,0,0,0,0,1,150,1,0,0,1,0,1
139,50,Frankenstein,5,2003,1,1,1,1,0,0,0,0,0,0,0,1,0,350,1,0,0,1,1,0
140,50,Conversations_with_Friends,5,2003,1,1,1,1,0,0,0,0,0,0,0,1,0,350,1,0,0,1,1,0
141,51,El_Monje_que_Vendio_su_Ferrari,5,1998,0,0,0,0,0,0,0,1,0,0,0,0,1,150,0,0,0,0,1,0
142,51,Atomic_Habits,5,1998,0,0,0,0,0,0,0,1,0,0,0,0,1,150,0,0,0,0,1,0
143,51,How_to_Win_Friends_and_Influence_People,5,1998,0,0,0,0,0,0,0,1,0,0,0,0,1,150,0,0,0,0,1,0
