Gènere;Edat;interesos_academics_i_laborals;te_preferencia_per_genere;pref_tipus_lectura;ventall_pagines;sagues;te_preferencia_per_autor;caracteristiques_literaries;pref_llibres_exit;pref_adaptacio_peli;pref_best_seller;ha_llegit
Home;21;Traducció, Interpretació ;Ficció, Comèdia;No tinc preferència;150-250;Novel·les individuals;Gabriel García Márquez;;Sí;No;No;
Home;18;arquitectura ;Comèdia, Misteri, Fantasia;Llibres fàcils de llegir;150-350;Novel·les individuals;J.K.Rowling, J.R.R Tolkien, Stephen King;;No;Sí;No;
Dona;20;Teràpia ocupacional;Creixement personal, Espiritualitat ;Llibres fàcils de llegir;50-250;Sagues;;;No;Sí;No;
Dona;21;Dret;Ficció, Ciència Ficció, Comèdia romàntica, Fantasia;No tinc preferència;250- Més de 350;No tinc preferència;Frank Herbert, Haruki Murakami;Herbert: avançat al seu temps, descripcions super ben fetes;No;Sí;No;Dune, el secreto, guardian entre el centeno
Home;19;Ciencia;Històrica, Creixement personal;Lectures més pausades;No tinc preferència;No tinc preferència;J.K.Rowling, Yuval Noah Harari;;Sí;Sí;No;Atomic hàbits, El poder de confiar en ti, El monje que vendió su Ferrari, Sapiens
Home;20;Economia, Director d’una empresa, Ade;Misteri, Històrica, Fantasia;Llibres fàcils de llegir;250-350;No tinc preferència;Anne Frank, J.K.Rowling, J.R.R Tolkien;Creativitat i que et faci reflexionar;No;Sí;No;harry potter, el señor de los anillos, diario de ana frank
Dona;20;Medicina;Psicología ;No tinc preferència;250-350;Novel·les individuals;Douglas Adams, Georges Simenon, J.K.Rowling;;Sí;No;No;
Dona;20;psicología;Psicología, Autoajuda;No tinc preferència;No tinc preferència;No tinc preferència;;;No;Sí;No;
Dona;20;Enginyeria industrial;Històrica;Llibres fàcils de llegir;50-150;Novel·les individuals;;;No;Sí;No;"El año en que me enamoré de todas, Nada, Tirant lo blanc
"
Dona;20;psicologia ;Comèdia romàntica, Policíaca;No tinc preferència;150- Més de 350;Sagues;Jane Austen, Paula Hawkins, Stephen King, Suzanne Collins;;No;Sí;No;Amor y prejuicio, Los siete maridos de Evelyn Hug, Cuento de hadas
Dona;20;Odontologia;Comèdia romàntica, Fantasia, ;No tinc preferència;250-350;Sagues;J.K.Rowling, J.R.R Tolkien, Jane Austen;;No;Sí;Sí;
Dona;19;Biomedicina;Ficció, Misteri, Policíaca;Llibres fàcils de llegir;250-350;Novel·les individuals;Gabriel García Márquez, Jane Austen, Ken Follett, Paula Hawkins, Stephen King;me fijo más en la trama de cada libro, no tengo preferencia pero me gusta el uso de la ironía ;Sí;Sí;No;las cuatro estaciones, hacia rutas salvajes, donde surgen las sombras, el guardián entre el centeno, la sombra del viento, normal people
Dona;50;Medicina, Esport, Ball;Comèdia romàntica, Policíaca, Històrica, Fantasia;No tinc preferència;150-250;No tinc preferència;Anne Frank, Gabriel García Márquez, Suzanne Collins, Isabel Allende ;Presecia de diàleg ;Sí;Sí;No;La catedral del Mar,  Como agua para chocolate,  Mujercitas,  La casa de los espiritus
Dona;15;Estudis Secundaris Obligatoris;Comèdia romàntica;No tinc preferència;150-250;Sagues;Joana Marcus;Humor i ironia;No;Sí;No;Todo lo que nunca fuimos, Perfectos mentirosos, Heist, It ends with u
Dona;45;Dependenta;Ciència Ficció, Comèdia romàntica;Llibres fàcils de llegir;150-250;Novel·les individuals;Jane Austen, Ken Follett, Stephen Hawking, Stephen King;Presencia d' humor;Sí;Sí;Sí;Angel y demonio 
Home;20;Estudiant d’Enginyeria Industrial;Ciència Ficció, Fantasia, Política, Filosofia, Economia ;No tinc preferència;150-350;Novel·les individuals;Frank Herbert, Isaac Asimov, J.K.Rowling, Ken Follett, Stephen Hawking, Sun Tzu, Friedrich Hayek, Art Spiegelman;Profunditza en els pensaments humans mes profunds y utilitza sovint la ironia ;Sí;Sí;No;El Arte de la Guerra, Las 48 leyes del poder , 12 reglas para vivir , La psicología del dinero , Maus, El juego del alma , El italiano
Dona;70;Comercio comercial ;Comèdia, Comèdia romàntica;Llibres fàcils de llegir;150-250;Novel·les individuals;;;;Sí;;
Dona;52;Treball;Ficció, Històrica, ;Lectures més pausades;No tinc preferència;No tinc preferència;Anne Frank, Isaac Asimov, Jane Austen, Stephen King, Maruja Torre, Svetlana Alexievich;Lexic;No;No;No;Diario de ANNA FRANCK , MUJER EN GUERRA, VOCES DE CHERNOBIL
Dona;53;Ciències de la informació ;Ficció, Històrica;Lectures més pausades;150-250;Novel·les individuals;Gabriel García Márquez;Gran imaginació, molt descriptiu, personatges interessants;No;Sí;No;Gent normal, Aloma, Hamlet, Cien años de soledad, Sentit i sensibilitat, Jane Eyre, L'imperi del dolor, El temps de les cireres, La senyora Dalloway, El curiós cas del Benjamin Burton, Me casé por alegría 
Dona;50;Administrativa;Ciència Ficció, Misteri;Llibres fàcils de llegir;50-150;Sagues;J.K.Rowling;Acció/fantasia;No;Sí;No;Harry Potter, 50 sombras de grey
Home;25;Seo;Comèdia romàntica;No tinc preferència;150-250;Sagues;Jo Nesbø, Paula Hawkins, Philip.K. Dick;Lèxic complex;No;No;No;
Dona;57;Assessora laboral, Rrhh;Ficció, Comèdia, Comèdia romàntica, Misteri, Policíaca, Històrica, Fantasia, Poesia;Llibres fàcils de llegir;0-250;No tinc preferència;Haruki Murakami, Yuval Noah Harari;Més enllà d'un estil o lèxic determinat, juga amb les emicions, desperta la imaginació, el seu estil és molt creatiu, combina molt bé la realitat i la ficció,  dóna sempre presència i referència a la música en les seves obres, tot plegat resulta molt màgic.;Sí;Sí;No;
Dona;59;Cou. Disseny gràfic;Comèdia, Misteri;Llibres fàcils de llegir;No tinc preferència;Novel·les individuals;Albert Espinosa;Fácil de leer, te engancha, lenguaje coloquial;No;Sí;No;El ocho, el túnel, el niño del pijama a rallas, cometas en el cielo
Dona;59;Llicenciada Ciències Químiques;Comèdia romàntica, Misteri, Policíaca;Llibres fàcils de llegir;250-350;No tinc preferència;Jo Nesbø;Que sigui amé, que mantingui la meva atenció.;No;Sí;No;El ninot de neu, El ratpenat, La estrella del diablo
Dona;43;Gestora Comercial;Ficció, Comèdia, Comèdia romàntica, Policíaca, Biografia;No tinc preferència;250-350;No tinc preferència;Anne Frank, Jane Austen, Ken Follett, Stephen King, Paulo Coelo,  Sandra Berneda, Jorge Javier Vázquez, Noah Gordon  ;Lèxic complex / personatges / autobiogràfic / irònic / fets reals;No;No;No;Me falta una teta, Axe, Este dolor no es mio, El Angel de la ciudad, 50 palos, Antes del olvido, El codigo Davinci, Invitación a un asesinato
Dona;59;Carnicera;Ciència Ficció, Misteri, Policíaca;No tinc preferència;No tinc preferència;No tinc preferència;Gabriel García Márquez, Ken Follett;;Sí;Sí;No;
Dona;59;Auditora financiera;Ficció, Ciència Ficció, Misteri, Policíaca, Fantasia;Llibres fàcils de llegir;No tinc preferència;No tinc preferència;J.K.Rowling, Ken Follett, Suzanne Collins, Noah Gordon, Alejandro Palomas, Javier Cercas, Dolores Redondo, Juan Gómez Jurado;;Sí;Sí;No;El médico, Una madre, Un perro, Un amor, Un hijo, Trilogía del Batzan , La catedral del mar, Los pilares de la tierra, La habitación ámbar, La metamorfosis, La novia gitana, Reina roja(trilogía) , Los juegos del hambre, Divergente, La peixera, El tiempo que nos une, Los ojos amarillos de los cocodrilos, Juntos nada más, Sin noticias de Gurb
Dona;47;Diplomada;Comèdia romàntica, Policíaca;Llibres fàcils de llegir;250-350;No tinc preferència;Ken Follett, Paula Hawkins;Lexic fluid;No;Sí;No;"La ciudad pérdida, Todo lo que te di
"
